Submission Time,Age and Data Confirmation,UK region,How was your day?
3/13/2025 14:51,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,"Amazingly, I got an interview request from a tech company yesterday!"
3/13/2025 14:51,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,Bad but I loved listening to the bubbling of the sopu I made
3/13/2025 14:51,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,Glad that I can go to University lol
3/13/2025 14:52,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,Happy that I can (barely) afford rent
3/13/2025 14:52,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,Just chilling
4/21/2025 19:58,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,I felt great because I went on a scenic walk
4/21/2025 20:03,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,Im feeling so tired and low energy :(
4/21/2025 20:06,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,I'm really stressed at work and I can't switch off
5/16/2025 13:32,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,"My day is going ok. Chill morning, sunny weather but my curtains are closed. "
5/17/2025 12:12,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,Wild
5/17/2025 12:12,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,Good 
5/17/2025 12:25,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,It was Aight 😌
5/17/2025 12:26,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,"I’m okay, I miss my wife but I’m okay 🥲"
5/17/2025 12:43,"Yes, I am over the age of 18 and I am happy for you to use the data",South Wales,"It’s been good so far , just having a chill at home "
5/17/2025 13:27,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,Good
5/17/2025 13:46,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,"My day's going well, just working on a research project at the moment!"
5/17/2025 13:58,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,So far so great
5/17/2025 14:03,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,"Dull - none of my friends live in London anymore, and my colleagues at work are not the kindest."
5/17/2025 14:20,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,good
5/17/2025 14:27,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,I am feeling good because I went on a walk
5/17/2025 15:09,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,Excellent!
5/17/2025 19:47,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,Alright
5/17/2025 20:18,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,Lovely!
5/17/2025 22:42,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,"Pretty good, I saw some friends I haven't in a while and they helped me out with some things :)"
5/18/2025 11:32,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,pretty okay
5/19/2025 13:39,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,Good
5/20/2025 9:25,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,Im feeling really nervous as I have a presentation to talk about in 5 mins 
5/20/2025 19:40,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,Just finished writing a bunch of code for an assignment!! I'm so proud of myself :D
5/20/2025 19:43,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,"Good! ive walked quite the distance today, got my steps in! weather was nice actually "
5/20/2025 20:11,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,good but boring
5/20/2025 20:15,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,"It was great, I went out and enjoyed the sunshine"
5/21/2025 3:34,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,"normal i guess, just as every day"
5/21/2025 12:38,"Yes, I am over the age of 18 and I am happy for you to use the data",East Scotland,"I'm okay thank you, the sky seems a little gray so I guess it's motivated me to stay home and focus on work rather than having a picnic outside."
5/21/2025 23:14,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,Stressful 
5/21/2025 23:22,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,"Had a really satisfying gym session! Overcame some personal records, the commute was quite relaxing especially with the sun hitting my face as I rode the train."
5/21/2025 23:27,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,"Training was tough today, I felt nauseous after the 3 hour session. Im glad i pushed myself but I felt like I was going to hurl!"
5/22/2025 0:59,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,Stressful
5/22/2025 16:44,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,"It was aight, middle of the road, 6/10, flooding, but we’re safe n dry, could be worse."
5/22/2025 18:22,"Yes, I am over the age of 18 and I am happy for you to use the data",South Wales,"I am so tiredd, trying to stay awake using this energy drink but its so sweet i hate it"
5/24/2025 18:16,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,Good
5/24/2025 18:31,"Yes, I am over the age of 18 and I am happy for you to use the data",South Wales,Decent
5/24/2025 19:20,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,Good
5/27/2025 15:39,"Yes, I am over the age of 18 and I am happy for you to use the data",South Wales,I am angry because the bus drivers drive past me.
5/27/2025 15:59,"Yes, I am over the age of 18 and I am happy for you to use the data",West Scotland,"I'm absolutely starving right now walking back home, so I guess it's like any other day?"
5/27/2025 16:00,"Yes, I am over the age of 18 and I am happy for you to use the data",Southern Scotland,"Had a really nice lunch at this local spot I've been eyeing for a couple days, so good!"
5/27/2025 16:13,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,"Peaceful, not too stressful"
5/27/2025 20:40,"Yes, I am over the age of 18 and I am happy for you to use the data",West Central England,Good but tired
5/27/2025 23:06,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,"Good, I got a blowjob from my grandniece (I suffer from pedophiilia and I babysit her)."
5/27/2025 23:24,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,"I'm just finishing up the day now, finished watching some episodes of Dream Academy, I've got my book and my water by my side, life is good :)"
5/27/2025 23:38,"Yes, I am over the age of 18 and I am happy for you to use the data",South Wales,"Lovely! I went to a lake nearby and there was fog everwhere, it was a little spooky but I like those vibes!"
5/27/2025 23:39,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern Scotland,"It was a rough day, I was out building a treehouse and then the branch i was balancing on broke! I had the wind knocked out of me and laid there for quite a while when i fell."
5/27/2025 23:40,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern Ireland,"Just had a blast at a festival! There was music, tapdancers, everyone sang their hearts out and danced away the night."
5/27/2025 23:41,"Yes, I am over the age of 18 and I am happy for you to use the data",West Scotland,"Im failing all my classes and my exams are super close, im stressing out bad but i keep on procrastinating this is awful i wish I could turn back time I swear i'd do things right this time."
5/27/2025 23:42,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,Got yelled at by a nobhead 
5/27/2025 23:42,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,"It was bloody shambolic, my pub undercooked my steak, and then they overcooked it, like for goodness sake is it that hard to do your damn job!!!!"
5/27/2025 23:44,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern Ireland,"My cat just died life sucks, everything is miserable they were such a cute well-behaved little cat too :')"
5/27/2025 23:45,"Yes, I am over the age of 18 and I am happy for you to use the data",Southern Scotland,"I learnt some sick-ass dance moves and im getting pretty confident with them, ive come so far since i started learning 3 weeks ago! Yippeee yippeee hurray me!"
5/27/2025 23:46,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,I got accepted into my first choice uni! I can't wait to move out and make friends and live that uni life
5/27/2025 23:47,"Yes, I am over the age of 18 and I am happy for you to use the data",West Central England,"SO much fun, went to comicon for the first time in 8 years with my girlfriend and we saw so many cool cosplays! We took some photos with some nice people and saw communities of our favourite games and movie. I can't wait to go again and dress up this time!"
5/27/2025 23:49,"Yes, I am over the age of 18 and I am happy for you to use the data",West Scotland,"I work at McDonalds and someone told me to shut up and flip their burger, I almost lunged at them I swear to god these people suck"
5/27/2025 23:49,"Yes, I am over the age of 18 and I am happy for you to use the data",East Scotland,I absolutely slayed my dance routine today 
5/27/2025 23:50,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern Scotland,I just finished a game and now i feel empty inside
5/27/2025 23:50,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,"I met up with my brothers and family, we went out and ate together, i missed them so much so im glad we got the chance to do this."
5/27/2025 23:51,"Yes, I am over the age of 18 and I am happy for you to use the data",West Scotland,"I saw like 3 cats whilst walking to uni today, of course i played with them and it was amazing"
5/27/2025 23:52,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,"Im worried that my friends are holding me back and that they're not the right crowd to be with, they always talk badly of others and thats just not who i am."
5/28/2025 16:03,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,"Went to get a Greggs with my roommate and then got some shopping at Lidl, now I'm just focusing on work so I guess my day is going productive!"
5/28/2025 21:03,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,Overwhelming 
5/28/2025 22:34,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,Average 
5/29/2025 2:21,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,"The worst, my daughter stepped over the optical cable of my brand new (received it last week) MeganeX Superlight 8K VR headset, ripping it from my face and straight on the floor, breaking in half with the microOLED screens all cracked . And since this Japanese company does not cover this under warranty, it means I just lost £2000 of gaming hardware."
5/29/2025 15:25,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,Trying to get through work and respond to emails but I'm so low energy even though I've already gotten through two cups of strong coffee.
5/29/2025 20:47,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,"I'm feeling so lazy today, my back hurts and I've been trying to add this calendar to an app for the past 2 hours."
5/30/2025 15:23,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,Im doing good just finishing some work aha
5/30/2025 16:12,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,I'm making a baked apple right now im so excited to eat it im so hungry oh my LORD
5/30/2025 19:12,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern Ireland,Good
5/31/2025 20:02,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,Final examinations are cracking me!! Plus I've got a job to juggle arhghh
5/31/2025 20:03,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,I'm making some shawarmas later im really excited!!
5/31/2025 20:04,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,"Woolwich is looking beautiful this time of day, also it's really hot."
5/31/2025 20:04,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,"Quite productive! Woke up at 12, went to Lidl and then sat by my desk wasting away working."
5/31/2025 20:08,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,Good
6/1/2025 1:24,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,I was tired. I worked too much.
6/2/2025 18:47,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,alreet
6/2/2025 20:19,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,My day's been good! Hung out with my partner and then did some research work
6/2/2025 21:01,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,Tired and anxious due to a new job
6/2/2025 21:42,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,It was good!
6/2/2025 23:00,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,"Pretty good, I got some job interviews!"
6/3/2025 19:51,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,"Pretty good actually. Managed to try new tops on that I good and am liking 1! Feeling involved in online art workshop, knowing there are events to look forward to."
6/4/2025 23:41,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,I’m satisfied because I managed to get everything done without stressing 
6/7/2025 18:42,"Yes, I am over the age of 18 and I am happy for you to use the data",South Wales,Great
6/7/2025 21:49,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,"My day was very boring, I havent been doing much lately"
6/8/2025 14:08,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,Im so tired today but deadlines are coming up so I need to focus and get everything done!
6/9/2025 21:30,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,It was great! I tried two new flavours of ice cream and started reading a new book!
6/10/2025 8:16,"Yes, I am over the age of 18 and I am happy for you to use the data",South Wales,It has been good since I got to talk to my friend today
6/10/2025 9:20,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern Scotland,Ok
6/12/2025 19:12,"Yes, I am over the age of 18 and I am happy for you to use the data",West Central England,"Good, spent the day to myself and in a peaceful solitude"
6/12/2025 21:14,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,good
6/12/2025 21:16,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,I’m satisfied because  I hanging out with my friend
6/14/2025 13:47,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,My day has been alright but mostly uneventful - since I finished my exams I am mostly watching Netflix 
6/14/2025 1:05,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,"Was sitting on my behind playing Fallout 4 most of the day. Overall, a very great and productive day indeed :D"
6/15/2025 1:15,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,Shit
6/15/2025 5:31,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,Good. I just graduated 
6/14/2025 13:45,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,Neutral because work is chill but dragging on way too long
6/11/2025 14:04,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,"Pretty calm, just a little slow since i just woke up"
6/10/2025 14:05,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,Pretty nervous! I have an interview today so please wish me luck
6/5/2025 14:06,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,My legs are aching im in pain
6/7/2025 14:06,"Yes, I am over the age of 18 and I am happy for you to use the data",West Central England,My eyes are struggling to stay open LMAO
6/11/2025 14:28,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,Spent most of it in meetings
6/12/2025 14:29,"Yes, I am over the age of 18 and I am happy for you to use the data",West Central England,Got caught in the rain without an umbrella
6/1/2025 14:29,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,Took a long walk and cleared my head
6/11/2025 14:30,"Yes, I am over the age of 18 and I am happy for you to use the data",West Central England,"Pretty uneventful, but I’m content"
6/13/2025 14:30,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,Got a lot done today — feeling productive and kind of proud
6/10/2025 14:30,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,"I had one of those days where everything click, I feel energized."
6/9/2025 14:31,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,Honestly? It sucked. I’m frustrated and just want to sleep.
6/12/2025 14:31,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,"I had a really honest conversation, and now I feel lighter."
6/3/2025 14:31,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,I cooked something new and it turned out great — proud and full.
6/2/2025 14:31,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,I felt really misunderstood today. It’s frustrating
6/15/2025 14:32,"Yes, I am over the age of 18 and I am happy for you to use the data",West Central England,"I barely talked to anyone today, kind of peaceful, kind of lonely."
6/11/2025 14:32,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern Scotland,"I stayed in bed too long, now I feel groggy and behind."
6/2/2025 14:33,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,"Honestly, it was just boring nothing to report."
6/14/2025 14:33,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,"My friend surprised me with coffee, that made me feel really appreciated!"
6/14/2025 14:33,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,"Woke up late, spiraled a little, got coffee, feeling better now lol"
6/12/2025 14:35,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern Scotland,Honestly? Kinda lonely.
6/2/2025 14:35,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,Spent the whole day procrastinating and now I regret everything.
6/15/2025 14:36,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,Work annoyed me but I powered through. I’m proud tbh.
6/11/2025 14:36,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,Burnt my toast and my soul.
6/11/2025 14:36,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,Got a compliment outta nowhere and I’ve been riding that high all day.
6/10/2025 14:36,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,"Saw a cat and it looked into my soul, that was the highlight."
6/9/2025 14:37,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,Randomly super emotional but also vibing??
6/2/2025 14:37,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,Bro I did one thing and called it a day.
6/9/2025 14:37,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,I’ve been listening to the same sad song on loop for like 3 hours.
6/9/2025 14:37,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,Got ghosted and then ate my feelings.
6/7/2025 14:38,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,"I felt weirdly nostalgic today, no clue why."
6/1/2025 14:38,"Yes, I am over the age of 18 and I am happy for you to use the data",West Central England,"My brain was buffering all day, I swear."
6/1/2025 14:43,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,Accidentally overshared and now I wanna disappear lol.
6/7/2025 14:43,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,"Got a little sun, touched some grass, healing."
6/7/2025 14:44,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,Had a lil win and I’m still smiling about it.
6/7/2025 14:44,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,One person made my whole day better.
6/11/2025 14:45,"Yes, I am over the age of 18 and I am happy for you to use the data",West Central England,Lowkey? It was actually really good.
6/9/2025 14:45,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern Scotland,"Overslept, had cereal for dinner, thriving."
6/8/2025 14:46,"Yes, I am over the age of 18 and I am happy for you to use the data",West Scotland,"Started strong, then spiraled around 4pm."
6/9/2025 14:46,"Yes, I am over the age of 18 and I am happy for you to use the data",West Central England,Procrastinated everything and now I’m stressed. Oops.
6/8/2025 14:47,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern Ireland,Got hit with random sadness at Starbucks. Still drank the latte tho.
6/6/2025 14:47,"Yes, I am over the age of 18 and I am happy for you to use the data",West Scotland,"Burnt toast, forgot my password, cried a little."
6/11/2025 14:47,"Yes, I am over the age of 18 and I am happy for you to use the data",West Scotland,Boring but peaceful. I’ll take it.
6/7/2025 14:48,"Yes, I am over the age of 18 and I am happy for you to use the data",Southern Scotland,Finally cleaned my room. Mentally reborn.
6/6/2025 14:48,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,I’m either evolving or losing it. Not sure which.
6/4/2025 14:48,"Yes, I am over the age of 18 and I am happy for you to use the data",Southern Scotland,Had a whole breakdown then did my skincare. 
6/2/2025 14:49,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,Did absolutely nothing and still feel exhausted.
6/4/2025 14:49,"Yes, I am over the age of 18 and I am happy for you to use the data",West Scotland,Got caught in the rain and kinda loved it.
6/3/2025 14:50,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,My brain was buffering all day.
6/13/2025 15:42,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,Nothing bad happened but I still felt weird.
6/14/2025 15:42,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,Sent a risky text and now I live in fear.
6/3/2025 15:43,"Yes, I am over the age of 18 and I am happy for you to use the data",South Wales,Found a new playlist and it healed something in me.
6/6/2025 15:43,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,Everything annoyed me but I didn’t say anything.
6/14/2025 15:48,"Yes, I am over the age of 18 and I am happy for you to use the data",West Central England,"Spilled matcha on my laptop at a café, embarrassed but trying to laugh"
6/14/2025 15:49,"Yes, I am over the age of 18 and I am happy for you to use the data",West Central England,Got stuck in traffic listening to sad music it was weirdly peaceful
6/3/2025 15:49,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England, cleaned my whole room and it lowkey reset my brain.
6/12/2025 15:49,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern Scotland,A random kid waved at me on the street and it made me weirdly emotional.
6/3/2025 15:50,"Yes, I am over the age of 18 and I am happy for you to use the data",South Wales,My manager smiled at me today and I almost cried??
6/10/2025 15:50,"Yes, I am over the age of 18 and I am happy for you to use the data",South Wales,I made someone laugh really hard today and now I feel warm inside.
6/10/2025 15:50,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,Spent the afternoon alone in a bookstore it was super healing.
6/3/2025 15:51,"Yes, I am over the age of 18 and I am happy for you to use the data",West Scotland,I saw a couple being cute and I felt lonely in the ugliest way.
6/14/2025 15:51,"Yes, I am over the age of 18 and I am happy for you to use the data",West Scotland,"Failed at something but nobody noticed, so I’m pretending I’m fine."
6/5/2025 15:51,"Yes, I am over the age of 18 and I am happy for you to use the data",West Central England,I let myself actually relax today!
6/9/2025 15:52,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,I skipped a lecture and laid on the floor instead
6/8/2025 15:53,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern Scotland,I felt super out of place in a room full of people I know.
6/12/2025 15:53,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,I finally told someone how I felt im feeling terrified but proud.
6/3/2025 15:54,"Yes, I am over the age of 18 and I am happy for you to use the data",West Central England,I dropped my sandwich in front of everyone :(
6/3/2025 15:54,"Yes, I am over the age of 18 and I am happy for you to use the data",East Scotland,I found an old note I wrote to myself and it hit hard.
6/9/2025 15:55,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern Scotland,Got left on read and tried not to take it personally.
6/8/2025 15:55,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,Had a really deep convo with someone I didn’t expect
6/8/2025 15:55,"Yes, I am over the age of 18 and I am happy for you to use the data",East Scotland,A dog ran up to me on the street and I think it healed part of me.
6/3/2025 15:56,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern Ireland,I saw an old friend at the store and it left me a little emotional.
6/10/2025 15:57,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,My professor was nice to me for once
6/11/2025 15:57,"Yes, I am over the age of 18 and I am happy for you to use the data",Southern Scotland,I took a walk with no headphones and actually enjoyed the silence.
6/6/2025 15:58,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,I stayed in bed too long and now my whole vibe is off.
6/12/2025 15:58,"Yes, I am over the age of 18 and I am happy for you to use the data",West Scotland,I saw some cute art online and it made me want to create again.
6/8/2025 15:59,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern Scotland,I accidentally eavesdropped on strangers and it was the highlight of my day.
6/4/2025 15:59,"Yes, I am over the age of 18 and I am happy for you to use the data",West Central England,I started journaling again and it felt like something clicked.
6/11/2025 15:59,"Yes, I am over the age of 18 and I am happy for you to use the data",East Scotland,I passed someone on the street who smelled like someone I used to know.
6/14/2025 16:00,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,I saw a sunset that literally looked fake and it kind of stopped me for a second.
6/6/2025 16:00,"Yes, I am over the age of 18 and I am happy for you to use the data",South Wales,I made a really dumb mistake and I’m trying not to hate myself for it.
6/8/2025 16:00,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,I remembered something random from years ago and it kind of ruined my mood.
6/4/2025 16:01,"Yes, I am over the age of 18 and I am happy for you to use the data",South Wales,kind of lonely today… idk why it hit harder than usual
6/13/2025 16:01,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,actually had a great day? rare moment of peace lol
6/7/2025 16:02,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,was it a good day? no. was it funny? also no. but i survived
6/13/2025 16:02,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,i did laundry and now i feel like i’ve got my life together!!!
6/13/2025 16:03,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,i stayed in bed til 2pm. do with that info what you will
6/12/2025 16:03,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,random person complimented my shoes and i’m still riding that high
6/2/2025 16:03,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,had a dream about someone i shouldn’t be dreaming about and now i’m unwell
6/4/2025 16:04,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,finally answered my texts and now i need a nap
6/14/2025 16:04,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,i said something dumb and then replayed it all day <3
6/13/2025 16:05,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,i didn’t cry today. growth?
6/2/2025 16:05,"Yes, I am over the age of 18 and I am happy for you to use the data",West Central England,sat in the sun for 15 mins and suddenly life felt bearable
6/3/2025 16:06,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,kinda okay? i think? i don’t know anymore
6/1/2025 16:06,"Yes, I am over the age of 18 and I am happy for you to use the data",South Wales,all i did was scroll and eat toast lol
6/1/2025 16:06,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,woke up sad and just kind of stayed there
6/13/2025 16:06,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,i got a little sun on my face and it healed me
6/5/2025 16:07,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,had a good sandwich…
6/1/2025 16:07,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern Scotland,lowkey felt like everyone hated me even though i know they don’t
6/2/2025 16:08,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern Scotland,survived off caffeine and stubbornness
6/14/2025 16:08,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,emotionally not built for capitalism rn
6/12/2025 16:09,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,i got complimented on my handwriting and it made my whole life
6/16/2025 17:48,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,everything i learned today already left my brain
6/16/2025 17:57,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,i spent most of today pretending to look busy
6/16/2025 17:57,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,i made a to-do list and then ignored it completely
6/16/2025 17:59,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,finally got through my shift without crying in the bathroom!
6/16/2025 17:59,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,it was kinda productive and i feel like i earned my dinner
6/16/2025 18:00,"Yes, I am over the age of 18 and I am happy for you to use the data",South Wales,got a compliment on my work and didn’t cry about it lol
6/16/2025 18:00,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,finally finished that one annoying task
6/16/2025 18:01,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,i stayed on campus late and got stuff DONE
6/16/2025 18:01,"Yes, I am over the age of 18 and I am happy for you to use the data",West Central England,wore an outfit i liked and got like three compliments
6/16/2025 18:01,"Yes, I am over the age of 18 and I am happy for you to use the data",Southern Scotland,got free food at work!
6/16/2025 18:02,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,i had energy today and i used it wisely for once
6/16/2025 18:02,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,worked on a passion project after my shift :)
6/24/2025 11:23,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,Good 
